time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,fb_0,fb_1,fb_2,wibb_0,wibb_1,wibb_2,type
1514423755.715861,-2.129498004061554,0.652906470496595,-122.0112481142597,37.40878517623769,-29.3064998690364,0.0,0.0,0.0,0.0,0.0,-2.513053376180241,0.0,0.0,-143.9873521462302,0.0,2.0,4.0,1.0,0.0018462771938466,0.0001983116929236689,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423755.915962,-2.129498003199584,0.6529064709095783,-122.0112480648725,37.4087851998999,-29.30833662946017,0.0,0.0,0.0,0.0,0.0,-2.513390268952196,0.0,0.0,-144.0066546802117,0.0,2.0,4.0,1.0,0.0008395709859442326,0.0001713989305362481,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423756.116064,-2.129498002588199,0.6529064713994318,-122.0112480298427,37.40878522796643,-29.30891125325915,0.0,0.0,0.0,0.0,0.0,-2.51274529875709,0.0,0.0,-143.9697006101204,0.0,2.0,4.0,1.0,0.0007164092788166391,0.0001438325687209672,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423756.316166,-2.129498003686084,0.6529064719596528,-122.0112480927468,37.40878526006473,-29.31130579345889,0.0,0.0,0.0,0.0,0.0,-2.513102140904905,0.0,0.0,-143.9901461591426,0.0,2.0,4.0,1.0,0.0002837675419395788,9.87513359146876e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423756.516442,-2.129498005224533,0.652906472355966,-122.0112481808935,37.40878528277181,-29.31212796291832,0.0,0.0,0.0,0.0,0.0,-2.51330809281645,0.0,0.0,-144.0019463344568,0.0,2.0,4.0,1.0,9.621564537949347e-05,0.0001569359838961146,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423756.716543,-2.129498007170203,0.6529064729152292,-122.0112482923721,37.40878531481523,-29.31256405887734,0.0,0.0,0.0,0.0,0.0,-2.513006908869424,0.0,0.0,-143.9846897654351,0.0,2.0,4.0,1.0,1.128856180906199e-05,0.0001021447498728749,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423756.916646,-2.129498009569377,0.6529064735829956,-122.0112484298347,37.40878535307542,-29.31270912817357,0.0,0.0,0.0,0.0,0.0,-2.513330654998885,0.0,0.0,-144.0032390522869,0.0,2.0,4.0,1.0,2.447978896888833e-06,6.768650737657665e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423757.116762,-2.129498012276656,0.6529064742907765,-122.0112485849504,37.40878539362829,-29.31272655532913,0.0,0.0,0.0,0.0,0.0,-2.513117948988534,0.0,0.0,-143.9910518956167,0.0,2.0,4.0,1.0,2.697161754025594e-06,6.539482131816962e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423757.316865,-2.129498015028754,0.6529064747797756,-122.0112487426339,37.40878542164587,-29.31249240249428,0.0,0.0,0.0,0.0,0.0,-2.513288155064391,0.0,0.0,-144.0008039854108,0.0,2.0,4.0,1.0,8.69079730458818e-06,0.0001504053555671453,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423757.516968,-2.129498017781159,0.6529064753976305,-122.0112489003351,37.40878545704634,-29.3121927975403,0.0,0.0,0.0,0.0,0.0,-2.512919401894022,0.0,0.0,-143.9796759850666,0.0,2.0,4.0,1.0,3.164724952152231e-05,0.0001616917837098625,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423757.717069,-2.129498019607342,0.6529064758663677,-122.0112490049677,37.40878548390301,-29.31197844361809,0.0,0.0,0.0,0.0,0.0,-2.512753538901519,0.0,0.0,-143.9701727356187,0.0,2.0,4.0,1.0,0.0003519069301408792,0.000273704627307883,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423757.917172,-2.12949801867361,0.6529064753810357,-122.0112489514688,37.40878545609554,-29.3118173906328,0.0,0.0,0.0,0.0,0.0,-2.51310536504309,0.0,0.0,-143.9903308886532,0.0,2.0,4.0,1.0,0.001703994825138443,0.0008171992582510704,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423758.135079,-2.129498014858294,0.6529064753382706,-122.0112487328673,37.40878545364527,-29.31169373663302,0.0,0.0,0.0,0.0,0.0,-2.512926545574401,0.0,0.0,-143.9800852878025,0.0,2.0,4.0,1.0,0.003105200234969781,0.0009297717116806541,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423758.335181,-2.129498017752625,0.6529064756995889,-122.0112488987003,37.40878547434729,-29.31231422169778,0.0,0.0,0.0,0.0,0.0,-2.512705124514225,0.0,0.0,-143.9673987955591,0.0,2.0,4.0,1.0,0.000364857614642591,0.0004361731936906528,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423758.535284,-2.129498019460435,0.6529064755414832,-122.0112489965506,37.4087854652885,-29.31215251926433,0.0,0.0,0.0,0.0,0.0,-2.512617636110137,0.0,0.0,-143.9623860792485,0.0,2.0,4.0,1.0,0.0009430996986426928,0.0006517070824333942,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423758.735387,-2.129498015141879,0.6529064746652191,-122.0112487491156,37.40878541508226,-29.31163032752962,0.0,0.0,0.0,0.0,0.0,-2.513089136760526,0.0,0.0,-143.9894010765535,0.0,2.0,4.0,1.0,0.003456275577109723,0.001141147759806966,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
