Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1265327,-0.00869061,0.006175505,-1.675706,-0.001640842,-0.002977653,0.01880891,0.007602866,-0.006663753,-1.994904,0.00698371,0.006171481,0.001040292
1267826,-0.008668125,0.00615512,-1.681691,-0.001620522,-0.002962606,0.0188078,0.00738729,-0.006926457,-1.994992,0.007000813,0.005965319,0.00101512
1270325,-0.008653032,0.006141524,-1.685681,-0.001607719,-0.002952529,0.01880637,0.00770572,-0.006669693,-1.995061,0.007006722,0.005833495,0.0009833389
1272824,-0.00862907,0.006122123,-1.691666,-0.00158696,-0.002937384,0.01880743,0.008269139,-0.006264371,-1.995214,0.007033649,0.005673801,0.0009415274
1275323,-0.008612412,0.006109571,-1.695657,-0.001574147,-0.002927686,0.0188067,0.008388793,-0.006287822,-1.995507,0.007055429,0.005588033,0.0009267199
1277822,-0.008381632,0.005923679,-1.702512,-0.001554977,-0.002912337,0.0188065,0.008924183,-0.006625235,-1.995404,0.007064349,0.005483813,0.0009189488
1280321,-0.008363428,0.00591068,-1.706503,-0.001542416,-0.002903169,0.01880508,0.009280745,-0.006373719,-1.995469,0.00705846,0.005426128,0.0009216261
1282820,-0.008335814,0.005892107,-1.712489,-0.001523168,-0.002889093,0.01880579,0.009128384,-0.00600827,-1.995443,0.007021205,0.005349423,0.0009209234
1285319,-0.008317744,0.005879811,-1.71648,-0.001511145,-0.002879247,0.01880465,0.008941577,-0.006288273,-1.995458,0.006982608,0.005305799,0.0009178473
1287818,-0.008290763,0.005861349,-1.722466,-0.00149243,-0.002865084,0.01880466,0.009045961,-0.006019076,-1.995338,0.00691332,0.005245929,0.0009086868
1290317,-0.008078304,0.005691492,-1.727287,-0.001480512,-0.002855491,0.01880385,0.009277613,-0.006140163,-1.995474,0.006856899,0.005203229,0.0009134117
1292816,-0.008050158,0.005672615,-1.733273,-0.001463613,-0.002841422,0.0188042,0.009486619,-0.006444669,-1.994907,0.006757142,0.005161618,0.0009289224
1295315,-0.008031688,0.005659923,-1.737263,-0.001452108,-0.002833499,0.01880339,0.008983744,-0.0062468,-1.994792,0.006676232,0.005126606,0.0009297495
1297814,-0.008003738,0.00564134,-1.743247,-0.001434983,-0.002820161,0.01880403,0.009649403,-0.00614222,-1.994536,0.006554824,0.005046934,0.0009329513
1300313,-0.007984208,0.00562933,-1.747236,-0.001423324,-0.002811547,0.01880384,0.009880574,-0.00586707,-1.994604,0.006472965,0.004995495,0.0009397221
1302812,-0.007769358,0.005462377,-1.754015,-0.001405001,-0.002798007,0.01880454,0.01028495,-0.005566461,-1.994614,0.006368885,0.004913306,0.0009560764
1305311,-0.007748833,0.005450767,-1.758005,-0.001394023,-0.002790085,0.01880351,0.01024026,-0.006043636,-1.994851,0.006312636,0.004859755,0.0009676707
1307810,-0.007717582,0.005432619,-1.763989,-0.001378612,-0.002776759,0.01880546,0.01059385,-0.006055592,-1.994593,0.006221806,0.004788211,0.0009976954
1310309,-0.007696213,0.005420387,-1.767978,-0.001367928,-0.002767375,0.01880486,0.01077488,-0.006176357,-1.994653,0.0061589,0.004756105,0.001022585
1312808,-0.00766373,0.005401865,-1.773962,-0.001351338,-0.00275511,0.01880541,0.01088091,-0.006171555,-1.994527,0.006054326,0.004711104,0.001044431
1315307,-0.007467041,0.005248284,-1.778713,-0.001341581,-0.002745568,0.01880495,0.01116095,-0.005951885,-1.99483,0.005976293,0.004687918,0.001052847
1317806,-0.007433665,0.005230666,-1.784696,-0.001327358,-0.002731545,0.01880658,0.0110901,-0.005793555,-1.993809,0.005853143,0.004690831,0.001061075
1320305,-0.007411343,0.005219199,-1.788684,-0.001318075,-0.002721748,0.01880702,0.01123206,-0.005674066,-1.993647,0.005758643,0.004703701,0.001071821
1322804,-0.007378358,0.00520238,-1.794664,-0.001303609,-0.002707411,0.01880835,0.0107579,-0.005538561,-1.993127,0.005603473,0.004751454,0.001099651
1325303,-0.007356846,0.005191875,-1.79865,-0.001294433,-0.002697967,0.01880829,0.01075439,-0.004966095,-1.993209,0.005497688,0.004790707,0.001125821
1327802,-0.007159532,0.005043293,-1.805359,-0.001281171,-0.002683104,0.01880952,0.0102869,-0.004800496,-1.992539,0.005351532,0.00486675,0.001160561
1330301,-0.007138986,0.005033842,-1.809344,-0.001272191,-0.002674502,0.018809,0.01025882,-0.00465067,-1.992124,0.005261616,0.0049095,0.001162836
1332800,-0.007108632,0.005020299,-1.81532,-0.001258517,-0.002659444,0.01880988,0.009976864,-0.00437854,-1.992061,0.005132074,0.004951905,0.001141907
1335299,-0.007088657,0.005011106,-1.819304,-0.001249228,-0.002648957,0.0188098,0.009999206,-0.004813578,-1.992227,0.005053392,0.004990114,0.001124902
1337798,-0.007058953,0.004996979,-1.825281,-0.00123653,-0.002632437,0.01881174,0.00980313,-0.004604624,-1.992062,0.004955238,0.005064046,0.001111059
1340297,-0.006650229,0.004747894,-1.830336,-0.001227578,-0.002621718,0.01881193,0.009974444,-0.005180857,-1.992391,0.004893487,0.005124036,0.001106911
1342796,-0.006630479,0.004737882,-1.834321,-0.001220822,-0.002612869,0.01881204,0.009775287,-0.004831104,-1.992265,0.00483928,0.005198076,0.00111657
1345295,-0.006600666,0.004723419,-1.840298,-0.001209437,-0.002596935,0.01881265,0.01010009,-0.004810859,-1.992055,0.004742421,0.005307202,0.001150616
1347794,-0.006580745,0.004714013,-1.844281,-0.001202275,-0.002586799,0.01881121,0.009821026,-0.004596158,-1.991867,0.004662761,0.005379551,0.001160736
1350293,-0.006551524,0.004700954,-1.850256,-0.001190673,-0.002571075,0.01881175,0.009660098,-0.004109921,-1.99131,0.004550053,0.005482612,0.001160013
1352792,-0.006161431,0.004465079,-1.855263,-0.001183744,-0.002562257,0.01881099,0.009197987,-0.004166158,-1.990561,0.004482731,0.005538334,0.001153899
1355291,-0.006134134,0.004453088,-1.861235,-0.001172242,-0.002546477,0.01881252,0.009000236,-0.003828022,-1.990478,0.004388284,0.005602358,0.001151121
1357790,-0.006116163,0.004445261,-1.865215,-0.001165048,-0.002537803,0.01881163,0.008971454,-0.003998674,-1.989923,0.004341082,0.005626821,0.001156512
1360289,-0.006089371,0.004433497,-1.871185,-0.001154141,-0.002521241,0.01881214,0.008889599,-0.003843702,-1.989665,0.004285695,0.005636782,0.001175083
1362788,-0.006072417,0.004426291,-1.875164,-0.001147837,-0.002511842,0.01881093,0.008064626,-0.003362918,-1.989536,0.004244739,0.005645452,0.001180458
1365287,-0.005693479,0.004199002,-1.882114,-0.001139655,-0.002496785,0.01881305,0.007931567,-0.003506146,-1.989053,0.004161201,0.005651678,0.001179086
1367786,-0.005677771,0.004191938,-1.886092,-0.00113482,-0.002486991,0.01881361,0.007776326,-0.003558247,-1.9885,0.004075802,0.005653079,0.00119195
1370285,-0.005654441,0.004181865,-1.892057,-0.001128537,-0.00247262,0.01881467,0.007777066,-0.003157019,-1.988153,0.00387753,0.005637944,0.001222115
1372784,-0.005639312,0.004175694,-1.896032,-0.001123643,-0.002463941,0.01881416,0.007352354,-0.003014324,-1.987328,0.003720759,0.005611958,0.001249271
1375283,-0.005617201,0.004166948,-1.901994,-0.001116654,-0.002449339,0.01881646,0.007388339,-0.002816366,-1.987119,0.003491547,0.005564611,0.001293035
1377782,-0.005263886,0.003955044,-1.906908,-0.001112695,-0.002439329,0.01881626,0.007544762,-0.002908275,-1.986706,0.003333862,0.005530069,0.001312162
1380281,-0.005240752,0.003946726,-1.912867,-0.00110675,-0.002425084,0.01881769,0.007878096,-0.002637405,-1.986312,0.003124707,0.005486503,0.001333025
1382780,-0.005224871,0.003941419,-1.916839,-0.00110496,-0.002417037,0.01881835,0.008002502,-0.002669664,-1.985783,0.002982703,0.005450577,0.001351763
1385279,-0.005201202,0.003933064,-1.922796,-0.001100149,-0.002404674,0.01882051,0.007776921,-0.002899839,-1.98539,0.002746511,0.005366458,0.001387934
1387778,-0.005185783,0.003927547,-1.926767,-0.001097554,-0.002397089,0.01882102,0.007642128,-0.002617991,-1.984899,0.002589197,0.005284788,0.001410621
1390277,-0.004839312,0.003723019,-1.933622,-0.001093272,-0.002386148,0.01882146,0.00781263,-0.00283151,-1.985049,0.002367713,0.005122213,0.001434798
1392776,-0.004823894,0.003717427,-1.937592,-0.001092049,-0.002378823,0.01882159,0.007604949,-0.002760154,-1.984561,0.002233052,0.004995814,0.001436938
1395275,-0.004801082,0.003709336,-1.943545,-0.001088402,-0.002368568,0.01882433,0.007603183,-0.002634133,-1.984002,0.0020426,0.004799203,0.001427858
1397774,-0.004785915,0.003704569,-1.947512,-0.001087172,-0.002362454,0.0188233,0.007563629,-0.002132563,-1.983691,0.001923889,0.004660252,0.00141315
1400273,-0.004762611,0.003698482,-1.953464,-0.001085523,-0.00235163,0.01882427,0.007972804,-0.001925204,-1.984086,0.001734236,0.004459935,0.001369716
1402772,-0.004438081,0.003507917,-1.958294,-0.001085022,-0.002344904,0.01882507,0.00817978,-0.002259576,-1.983842,0.001604398,0.004337371,0.001350008
