Time_us,angl_accel_z
17119975,-4.00636478513097
17159999,-3.99397838567968
17200059,-4.04864143087529
17240080,-4.06859105140195
17279988,-4.11159631914995
17319971,-4.32208763735006
17360015,-4.56365311784354
17399975,-4.75772072570544
17440051,-4.86508786272766
17480090,-4.87219462185647
17519999,-4.80171651291525
17559996,-4.75330512994715
17599970,-4.59044043183805
17640035,-4.12718166608909
17679982,-3.83439643365378
17720022,-3.665057276475
17775138,-3.45712992592304
17815039,-3.74582047443715
17855087,-4.06563967082759
17895045,-4.35106179836412
17935235,-4.72508953325814
17975071,-5.01609258842176
18015045,-5.16281323125135
18055075,-5.21545132669775
18095078,-5.10574797272681
18135223,-4.76959233335281
18175090,-4.49800840571874
18215060,-4.37349411939881
18255092,-4.23907576094722
18295044,-4.23662762392923
18335123,-4.24130312494128
18375170,-4.08775895696453
18415041,-3.8108129617129
18479986,-3.39769343592732
18535227,-3.0248382124319
18600023,-3.08918585391903
18655088,-3.36246434436274
18720007,-3.58976999082119
18760025,-3.6522849735012
18799970,-3.57402005050357
18855095,-3.48934111819271
18920003,-3.41941087861461
18975175,-3.43925712973795
19040025,-3.32740514474159
19095052,-3.07201688195046
19160047,-2.62014465281901
19240056,-2.23981560785344
19319971,-2.3980873041977
19400005,-2.50840188005906
19479986,-2.38871390709699
19560015,-2.42278601445697
19615041,-3.26707932412453
19655101,-3.76287986901679
19719972,-2.92270054368307
