Time_us,x,y,yaw,V_x,V_y,Gyro_z
19899911,-18.899603,-1.139667,3.092724,-1.012655,0.03729253,0.00705086
19999978,-19.001883,-1.133863,3.099763,-1.066078,0.03375835,0.05776313
20099923,-19.107413,-1.130945,3.106378,-1.04646,0.04468571,0.07775623
20199920,-19.216943,-1.128205,3.108104,-1.049514,0.05858465,0.02425826
20299916,-19.326503,-1.127131,3.113776,-1.019283,0.07034928,0.04117598
20399917,-19.434573,-1.127833,3.121226,-1.028549,0.03263228,0.07236762
20499952,-19.540993,-1.129078,3.128943,-1.025097,0.03961198,0.06608491
20599924,-19.642903,-1.131087,3.134791,-1.015383,0.008699017,0.04671693
20699912,-19.742993,-1.133877,3.14292,-1.000712,-0.0008288552,0.07710459
20799950,-19.841073,-1.138224,3.150106,-0.9905717,0.03653561,0.07567411
20899913,-19.938343,-1.143013,3.156059,-0.9834411,-0.0009249866,0.05054257
20999989,-20.033783,-1.147688,3.164435,-0.9722483,-0.02322823,0.07256251
21099926,-20.129103,-1.151784,3.170702,-0.9518439,-0.03546841,0.06454672
21199921,-20.223683,-1.158329,3.176834,-0.9678982,-0.02932742,0.06082968
21299922,-20.322103,-1.166276,3.183098,-0.9994183,-0.0799922,0.05621272
21399920,-20.420463,-1.175974,3.190537,-0.995562,-0.06328162,0.07672273
21499960,-20.517393,-1.185567,3.197406,-0.9800332,-0.0684081,0.06804612
21599920,-20.615883,-1.194472,3.202183,-0.9672595,-0.1099346,0.04546347
21699911,-20.713453,-1.201736,3.207124,-0.9845194,-0.07251271,0.05386877
21799924,-20.814293,-1.206774,3.211655,-1.014291,-0.06096136,0.03391143
21899911,-20.916453,-1.211674,3.216776,-1.012373,-0.07005376,0.04566515
21999974,-21.014713,-1.218728,3.220333,-0.9876202,-0.09384915,0.04114561
22099911,-21.109623,-1.226476,3.225245,-0.9797164,-0.05420562,0.04627898
22199918,-21.205653,-1.232175,3.229078,-0.971908,-0.09836844,0.03780471
22299916,-21.302963,-1.237457,3.233567,-1.000721,-0.09341996,0.03567401
22399916,-21.402423,-1.247777,3.238044,-1.028661,-0.1022232,0.04571296
22499950,-21.502643,-1.259596,3.24012,-1.001269,-0.1027103,0.02381322
22599925,-21.603943,-1.272205,3.241899,-1.01685,-0.09594902,0.01293931
22699911,-21.706673,-1.287809,3.245455,-1.00618,-0.1096133,0.03056069
22799919,-21.806513,-1.305024,3.250688,-0.9892912,-0.1402239,0.0469358
22899914,-21.904833,-1.32577,3.251707,-0.9752181,-0.1518453,0.01761766
22999973,-22.004713,-1.345505,3.251956,-0.9709722,-0.1416479,0.002616209
23099950,-22.104273,-1.363866,3.255967,-0.9768584,-0.1221538,0.04223225
23200004,-22.202103,-1.38339,3.25036,-0.9530292,-0.1153914,-0.02957991
23299920,-22.295713,-1.396772,3.198081,-0.892498,-0.03463727,-0.4798271
23399917,-22.379133,-1.398356,3.116262,-0.8158307,0.05204856,-0.8208382
23500003,-22.459313,-1.389649,3.046223,-0.7984456,0.09525219,-0.7156168
23599920,-22.539233,-1.375162,2.984146,-0.7992553,0.1720847,-0.613498
